,original_shatr,arudi_style,tafilaat,pattern
0,أَرَقٌ عَلى أَرَقٍ وَمِثلِيَ يَأرَقُ,أرقن على أرقن ومثلي يأرقو,متفاعلنْ متفاعلنْ متفاعلنْ,111011011101101110110
1,وَجَوىً يَزيدُ وَعَبرَةٌ تَتَرَقرَقُ,وجون يزيد وعبرتن تترقرقو,متفاعلنْ متفاعلنْ متفاعلنْ,111011011101101110110
2,حَيِّ الوُجوهَ المِلاحا,حيي لوجوه لملاحا,مسْتفْع لنْ فاعلاتنْ,10101101011010
3,وَحَيِّ نُجلَ العُيون,وحيي نجل لعيوني,متفْع لنْ فاعلاتنْ,1101101011010
4,هَل في الهَوى مِن جُناحٍ,هل فلهوى من جناحن,مسْتفْع لنْ فاعلاتنْ,10101101011010
5,أَو في نَديمٍ وَراح,أو في نديمن وراحي,مسْتفْع لنْ فاعلاتنْ,10101101011010
6,بَكى بِشَجوي وَناحا,بكى بشجوي وناحا,متفْع لنْ فاعلاتنْ,1101101011010
7,عَلى فُروعِ الغُصونِ,على فروع لغصوني,متفْع لنْ فاعلاتنْ,1101101011010
8,وَقَد لَهَوتُ بِمِثلِ الرِئمِ آنِسَةٍ,وقد لهوت بمثل ررئم ءانستن,متفْعلنْ فعلنْ مسْتفْعلنْ فعلنْ,110110111010101101110
9,تُصبي الحَليمَ عَروبٍ غَيرِ مِكلاحِ,تصبلحليم عروبن غير مكلاحي,مسْتفْعلنْ فعلنْ مسْتفْعلنْ فاعلْ,1010110111010101101010
10,هَبَّت جَنوبٌ بِأَعلاهُ وَمالَ بِهِ,هببت جنوبن بأعلاهو ومال بهي,مسْتفْعلنْ فاعلنْ مسْتفْعلنْ فعلنْ,10101101011010101101110
11,أَعجازُ مُزنٍ يَسُحُّ الماءِ دَلّاحِ,أعجاز مزنن يسحح الماء دللاحي,مسْتفْعلنْ فاعلنْ مسْتفْعلنْ فاعلْ,10101101011010101101010
12,قَد تَقَطَرنَ بالعبيرِ ومَسكٍ,قد تقططرن بلعبير ومسكن,فاعلاتنْ متفْع لنْ فعلاتنْ,1011010110110111010
13,وَتَكَبَينَ بالكباءِ ذكيا,وتكببين بلكباء ذكييا,فعلاتنْ متفْع لنْ فعلاتنْ,111010110110111010
14,كُنتُ دَلّالَها وَكانَ سِناني,كنت دللالها وكان سناني,فاعلاتنْ متفْع لنْ فعلاتنْ,1011010110110111010
15,تاجِراً يَشتَري النُفوسَ الغَوالي,تاجرن يشترننفوس لغوالي,فاعلاتنْ متفْع لنْ فاعلاتنْ,10110101101101011010
16,ثُمَّ عودي مِن بَعدِ ذا وَاِشكُريني,ثمم عودي من بعد ذا وشكريني,فاعلاتنْ مسْتفْع لنْ فاعلاتنْ,101101010101101011010
17,وَاِذكُري ما رَأَيتِهِ مِن فِعالي,وذكري ما رأيتهي من فعالي,فاعلاتنْ متفْع لنْ فاعلاتنْ,10110101101101011010
18,أَيُّها الساعي عَلى آثارِنا,أييهسساعي على ءاثارنا,فاعلاتنْ فاعلاتنْ فاعلا,1011010101101010110
19,نَحنُ مَن لَستَ بِسَعّاءٍ مَعَه,نحن من لست بسععاءن معه,فاعلاتنْ فعلاتنْ فاعلا,101101011101010110
20,ثُمَّ فينا لِلقِرى نارٌ يُرى,ثمم فينا للقرى نارن يرى,فاعلاتنْ فاعلاتنْ فاعلا,1011010101101010110
21,عِندَها لِلضَيفِ رُحبٌ وَسِعَه,عندها لضضيف رحبن وسعه,فاعلاتنْ فاعلاتنْ فعلا,101101010110101110
22,بأبي مَن لِسَبته نَحلةٌ,بأبي من لسبتهو نحلتن,فعلاتنْ فعلاتنْ فاعلا,11101011101010110
23,آلمت أَكرَم شَيءٍ وَأَجلّ,ءالمت أكرم شيءن وأجلل,فاعلاتنْ فعلاتنْ فعلا,10110101110101110
24,حَسِبَت أَنَّ بفيه بَيتَها,حسبت أنن بفيهي بيتها,فعلاتنْ فعلاتنْ فاعلا,11101011101010110
25,إِذ رأَت ريقَتَهُ مثلَ العَسَل,إذ رأت ريقتهو مثل لعسل,فاعلاتنْ فعلاتنْ فاعلا,101101011101010110
26,لقد كنتُ ذَا بَأسٍ شَدِيدٍ وَهِمَّةٍ,لقد كنت ذا بأسن شديدن وهممتن,فعولنْ مفاعيلنْ فعولنْ مفاعلنْ,11010110101011010110110
27,إِذَا شِئتُ لَمساً لِلثُّريَّا لَمَستُهَا,إذا شئت لمسن لثثريا لمستها,فعولنْ مفاعيلنْ فعولنْ مفاعلنْ,11010110101011010110110
28,أَتَتنِي سِهَامٌ مِن لِحَاظٍ فَأرشَقَت,أتتني سهامن من لحاظن فأرشقت,فعولنْ مفاعيلنْ فعولنْ مفاعلنْ,11010110101011010110110
29,بِقَلبِيِ وَلَو أَسطِيعُ رَدّاً رَدَدَتُّهَا,بقلبي ولو أسطيع رددن ردتتها,فعولنْ مفاعيلنْ فعولنْ مفاعلنْ,11010110101011010110110
30,خَليلَيَّ مُرّا بي عَلى أُمِّ جُندَبِ,خليليي مررا بي على أمم جندبي,فعولنْ مفاعيلنْ فعولنْ مفاعلنْ,11010110101011010110110
31,نُقَضِّ لُباناتِ الفُؤادِ المُعَذَّبِ,نقضض لبانات لفؤاد لمعذذبي,فعول مفاعيلنْ فعولنْ مفاعلنْ,1101110101011010110110
32,أَلَم تَرَياني كُلَّما جِئتُ طارِقاً,ألم ترياني كللما جئت طارقن,فعول مفاعيلنْ فعول مفاعلنْ,110111010101101110110
33,وَجَدتُ بِها طيباً وَإِن لَم تُطَيَّبِ,وجدت بها طيبن وإن لم تطييبي,فعول مفاعيلنْ فعولنْ مفاعلنْ,1101110101011010110110
34,بَكَى فَرثَت له أَجبالُ صُبحٍ,بكى فرثت لهو أجبال صبحن,مفاعلتنْ مفاعلْتنْ مفاعلْ,1101110110101011010
35,وأسعَدتِ الجِبالَ بها مُرُوتُ,وأسعدت لجبال بها مروتو,مفاعلتنْ مفاعلتنْ مفاعلْ,1101110110111011010
36,كأَنَّ فؤادَه كَفَّا غَرِيقٍ,كأنن فؤادهو كففا غريقن,مفاعلتنْ مفاعلْتنْ مفاعلْ,1101110110101011010
37,تَنازَعَهُ بِشَطِّ البَحرِ حُوتُ,تنازعهو بشطط لبحر حوتو,مفاعلتنْ مفاعلْتنْ مفاعلْ,1101110110101011010
38,أَمُساوِرٌ أَم قَرنُ شَمسٍ هَذا,أمسارون أم قرن شمسن هاذا,متفاعلنْ متْفاعلنْ متْفاعلْ,11101101010110101010
39,أَم لَيثُ غابٍ يَقدُمُ الأُستاذا,أم ليث غابن يقدم لأستاذا,متْفاعلنْ متْفاعلنْ متْفاعلْ,10101101010110101010
40,غادَرتَ أَوجُهَهُم بِحَيثُ لَقِيتَهُم,غادرت أوجههم بحيث لقيتهم,متفاعلنْ متفاعلنْ متفاعلنْ,111011011101101110110
